title,link,Selling_price
Aashirvaad Shudh Chakki Whole Wheat Atta,https://blinkit.in/prn/aashirvaad-shudh-chakki-whole-wheat-atta/prid/333324,₹349.00
"Fortune Chakki Fresh (100% Atta, 0% Maida) Atta",https://blinkit.in/prn/fortune-chakki-fresh-100-atta-0-maida-atta/prid/380157,₹319.00
Chakki Atta,https://blinkit.in/prn/chakki-atta/prid/388639,₹279.00
Amul Pure Ghee (Tetra Pack),https://blinkit.in/prn/amul-pure-ghee-tetra-pack/prid/15520,₹474.00
Gopaljee Ananda Ghee,https://blinkit.in/prn/gopaljee-ananda-ghee/prid/73536,₹391.00
Milkfood Rich Desi Danedar Ghee (Carton),https://blinkit.in/prn/milkfood-rich-desi-danedar-ghee-carton/prid/82898,₹393.00
Fortune Premium Kachi Ghani Pure Mustard Oil (Jar),https://blinkit.in/prn/fortune-premium-kachi-ghani-pure-mustard-oil-jar/prid/15902,₹937.00
Fortune Premium Kachi Ghani Pure Mustard Oil (Bottle),https://blinkit.in/prn/fortune-premium-kachi-ghani-pure-mustard-oil-bottle/prid/15907,₹190.00
Fortune Premium Kachi Ghani Pure Mustard Oil (Jar),https://blinkit.in/prn/fortune-premium-kachi-ghani-pure-mustard-oil-jar/prid/15902,₹937.00
Pansari Kachi Ghani Mustard Oil,https://blinkit.in/prn/pansari-kachi-ghani-mustard-oil/prid/103115,₹191.00
Pansari Kachi Ghani Mustard Oil (Jar),https://blinkit.in/prn/pansari-kachi-ghani-mustard-oil-jar/prid/365685,₹953.00
Fortune Soya Health Refined Soyabean Oil (Pouch),https://blinkit.in/prn/fortune-soya-health-refined-soyabean-oil-pouch/prid/52,₹147.00
Fortune Soya Health Refined Soyabean Oil (Jar),https://blinkit.in/prn/fortune-soya-health-refined-soyabean-oil-jar/prid/127064,₹753.00
Grofers Mother's Choice Refined Soyabean Oil (Pouch),https://blinkit.in/prn/grofers-mothers-choice-refined-soyabean-oil-pouch/prid/391750,₹143.00
Tata Salt,https://blinkit.in/prn/tata-salt/prid/105,₹20.00
Grocery 1 kg Sugar,https://blinkit.in/prn/grocery-sugar/prid/400105,₹46.00
Grofers Mother's Choice Sulphurless Sugar,https://blinkit.in/prn/grofers-mothers-choice-sulphurless-sugar/prid/389809,₹228.00
Maggi Masala 2 minute instant Noodles - 560 g (Pack of 8),https://blinkit.in/prn/maggi-masala-2-minute-instant-noodles-560-g-pack-of-8/prid/169812,₹96.00
Tata Agni Tea (Pouch),https://blinkit.in/prn/tata-agni-tea-pouch/prid/10529,₹256.00
Tata Agni Tea (Pouch),https://blinkit.in/prn/tata-agni-tea-pouch/prid/180026,₹65.00
Tata Agni Tea (Pouch),https://blinkit.in/prn/tata-agni-tea-pouch/prid/10530,₹129.00
Tata Premium Tea (Pouch),https://blinkit.in/prn/tata-premium-tea-pouch/prid/13980,₹361.00
Tata Premium (100 g) Tea (Pouch),https://blinkit.in/prn/tata-premium-100-g-tea-pouch/prid/110767,₹30.00
Tata Premium Tea,https://blinkit.in/prn/tata-premium-tea/prid/13981,₹129.00
Tata Premium 500 g Tea (Pouch),https://blinkit.in/prn/tata-premium-500-g-tea-pouch/prid/24739,₹233.00
Tata Premium Tea,https://blinkit.in/prn/tata-premium-tea/prid/13981,₹129.00
Grofers Mother's Choice American Almonds,https://blinkit.in/prn/grofers-mothers-choice-american-almonds/prid/391676,₹798.00
Grofers Mother's Choice American Almonds,https://blinkit.in/prn/grofers-mothers-choice-american-almonds/prid/389719,₹399.00
Arhar Dal/Toor Dal,https://blinkit.in/prn/arhar-daltoor-dal/prid/438122,₹111.00
India Gate Feast Rozzana Basmati Rice,https://blinkit.in/prn/india-gate-feast-rozzana-basmati-rice/prid/36183,₹85.00
Rajdhani Besan,https://blinkit.in/prn/rajdhani-besan/prid/23653,₹100.00
Grofers Mother's Choice Fine Besan,https://blinkit.in/prn/grofers-mothers-choice-fine-besan/prid/389902,₹50.00
Grofers Mother's Choice Cashews,https://blinkit.in/prn/grofers-mothers-choice-w320-cashews/prid/389714,₹455.00
Rajdhani Chana Dal,https://blinkit.in/prn/rajdhani-chana-dal/prid/37273,₹83.00
Rajdhani Chana Dal,https://blinkit.in/prn/rajdhani-chana-dal/prid/37273,₹83.00
Grocery Kabuli Chana,https://blinkit.in/prn/grocery-kabuli-chana/prid/440033,₹115.00
Grocery Kala Chana/Brown Chana,https://blinkit.in/prn/grocery-kala-chanabrown-chana/prid/440031,₹83.00
MDH Garam Masala,https://blinkit.in/prn/mdh-garam-masala/prid/68,₹85.00
Catch Compounded Hing Powder,https://blinkit.in/prn/catch-compounded-hing-powder/prid/21622,₹43.00
Rajdhani Maida,https://blinkit.in/prn/rajdhani-maida/prid/123060,₹33.00
Tata Sampann Unpolished Masoor Dal,https://blinkit.in/prn/tata-sampann-unpolished-masoor-dal/prid/89120,₹164.00
India Gate Mini Broken Mogra Basmati Rice,https://blinkit.in/prn/india-gate-mini-broken-mogra-basmati-rice/prid/100633,₹249.00
Moong Dal (Dhuli),https://blinkit.in/prn/moong-dal-dhuli/prid/438126,₹112.00
Rajdhani Mota Thick Poha,https://blinkit.in/prn/rajdhani-mota-thick-poha/prid/31,₹47.00
Rajma Chitra,https://blinkit.in/prn/rajma-chitra/prid/438128,₹124.00
Surf Excel Easy Wash (1 kg) Detergent Powder,https://blinkit.in/prn/surf-excel-easy-wash-detergent-powder/prid/293867,₹120.00
Harpic Power Plus Orignal Toilet Cleaner,https://blinkit.in/prn/harpic-power-plus-orignal-toilet-cleaner/prid/11237,₹82.00
Ghadi Detergent Powder,https://blinkit.in/prn/ghadi-detergent-powder/prid/93619,₹180.00
"Nihar Naturals Shanti Amla and Badam, For Black, Silky and Stronger Hair Amla Oil",https://blinkit.in/prn/nihar-naturals-shanti-amla-and-badam-for-black-silky-and-stronger-hair-amla-oil/prid/216089,₹144.00
Godrej No.1 Lime & Aloe Vera Soap 4x150 g - Buy 3 Get 1 Free - Brand Offer,https://blinkit.in/prn/godrej-no.1-lime-aloe-vera-soap-4x150-g-buy-3-get-1-free-brand-offer/prid/365997,₹152.00
Vim Lemon Dishwash Bar - Pack of 3 - Brand Offer,https://blinkit.in/prn/vim-lemon-dishwash-bar-pack-of-3-brand-offer/prid/18546,₹42.00
Dabur Vatika Health Power of 7 Natural Ingredients Shampoo,https://blinkit.in/prn/dabur-vatika-health-power-of-7-natural-ingredients-shampoo/prid/392279,₹312.00
Dabur Amla Amla Oil,https://blinkit.in/prn/dabur-amla-amla-oil/prid/21550,₹125.00
Glow & Lovely Advanced Multi Vitamin Face Cream,https://blinkit.in/prn/glow-lovely-advanced-multi-vitamin-face-cream/prid/19664,₹91.00
Kesh King Scalp & Hair Medicine Anti-Hairfall Shampoo,https://blinkit.in/prn/kesh-king-scalp-hair-medicine-anti-hairfall-shampoo/prid/410804,₹293.00
Parle-G Gold Glucose Biscuit 1 kg,https://blinkit.in/prn/parle-g-gold-glucose-1-kg-biscuit/prid/387474,₹98.00
Real Fruit Power Mixed Fruit 1 l Juice,https://blinkit.in/prn/real-fruit-power-mixed-fruit-1-l-juice/prid/353,₹101.00
Cadbury Bournvita Chocolate Health Drink (Jar),https://blinkit.in/prn/cadbury-bournvita-chocolate-health-drink-jar/prid/91212,₹223.00
Aashirvaad Shudh Chakki Whole Wheat Atta,https://blinkit.in/prn/aashirvaad-shudh-chakki-whole-wheat-atta/prid/333324,₹349.00
"Fortune Chakki Fresh (100% Atta, 0% Maida) Atta",https://blinkit.in/prn/fortune-chakki-fresh-100-atta-0-maida-atta/prid/380157,₹319.00
Chakki Atta,https://blinkit.in/prn/chakki-atta/prid/388639,₹279.00
Amul Pure Ghee (Tetra Pack),https://blinkit.in/prn/amul-pure-ghee-tetra-pack/prid/15520,₹474.00
Gopaljee Ananda Ghee,https://blinkit.in/prn/gopaljee-ananda-ghee/prid/73536,₹391.00
Milkfood Rich Desi Danedar Ghee (Carton),https://blinkit.in/prn/milkfood-rich-desi-danedar-ghee-carton/prid/82898,₹393.00
Fortune Premium Kachi Ghani Pure Mustard Oil (Jar),https://blinkit.in/prn/fortune-premium-kachi-ghani-pure-mustard-oil-jar/prid/15902,₹937.00
Fortune Premium Kachi Ghani Pure Mustard Oil (Bottle),https://blinkit.in/prn/fortune-premium-kachi-ghani-pure-mustard-oil-bottle/prid/15907,₹190.00
Fortune Premium Kachi Ghani Pure Mustard Oil (Jar),https://blinkit.in/prn/fortune-premium-kachi-ghani-pure-mustard-oil-jar/prid/15902,₹937.00
Pansari Kachi Ghani Mustard Oil,https://blinkit.in/prn/pansari-kachi-ghani-mustard-oil/prid/103115,₹191.00
Pansari Kachi Ghani Mustard Oil (Jar),https://blinkit.in/prn/pansari-kachi-ghani-mustard-oil-jar/prid/365685,₹953.00
Fortune Soya Health Refined Soyabean Oil (Pouch),https://blinkit.in/prn/fortune-soya-health-refined-soyabean-oil-pouch/prid/52,₹147.00
Fortune Soya Health Refined Soyabean Oil (Jar),https://blinkit.in/prn/fortune-soya-health-refined-soyabean-oil-jar/prid/127064,₹753.00
Grofers Mother's Choice Refined Soyabean Oil (Pouch),https://blinkit.in/prn/grofers-mothers-choice-refined-soyabean-oil-pouch/prid/391750,₹143.00
Tata Salt,https://blinkit.in/prn/tata-salt/prid/105,₹20.00
Grocery 1 kg Sugar,https://blinkit.in/prn/grocery-sugar/prid/400105,₹46.00
Grofers Mother's Choice Sulphurless Sugar,https://blinkit.in/prn/grofers-mothers-choice-sulphurless-sugar/prid/389809,₹228.00
Maggi Masala 2 minute instant Noodles - 560 g (Pack of 8),https://blinkit.in/prn/maggi-masala-2-minute-instant-noodles-560-g-pack-of-8/prid/169812,₹96.00
Tata Agni Tea (Pouch),https://blinkit.in/prn/tata-agni-tea-pouch/prid/10529,₹256.00
Tata Agni Tea (Pouch),https://blinkit.in/prn/tata-agni-tea-pouch/prid/180026,₹65.00
Tata Agni Tea (Pouch),https://blinkit.in/prn/tata-agni-tea-pouch/prid/10530,₹129.00
Tata Premium Tea (Pouch),https://blinkit.in/prn/tata-premium-tea-pouch/prid/13980,₹361.00
Tata Premium (100 g) Tea (Pouch),https://blinkit.in/prn/tata-premium-100-g-tea-pouch/prid/110767,₹30.00
Tata Premium Tea,https://blinkit.in/prn/tata-premium-tea/prid/13981,₹129.00
Tata Premium 500 g Tea (Pouch),https://blinkit.in/prn/tata-premium-500-g-tea-pouch/prid/24739,₹233.00
Tata Premium Tea,https://blinkit.in/prn/tata-premium-tea/prid/13981,₹129.00
Grofers Mother's Choice American Almonds,https://blinkit.in/prn/grofers-mothers-choice-american-almonds/prid/391676,₹798.00
Grofers Mother's Choice American Almonds,https://blinkit.in/prn/grofers-mothers-choice-american-almonds/prid/389719,₹399.00
Arhar Dal/Toor Dal,https://blinkit.in/prn/arhar-daltoor-dal/prid/438122,₹111.00
India Gate Feast Rozzana Basmati Rice,https://blinkit.in/prn/india-gate-feast-rozzana-basmati-rice/prid/36183,₹85.00
Rajdhani Besan,https://blinkit.in/prn/rajdhani-besan/prid/23653,₹100.00
Grofers Mother's Choice Fine Besan,https://blinkit.in/prn/grofers-mothers-choice-fine-besan/prid/389902,₹50.00
Grofers Mother's Choice Cashews,https://blinkit.in/prn/grofers-mothers-choice-w320-cashews/prid/389714,₹455.00
Rajdhani Chana Dal,https://blinkit.in/prn/rajdhani-chana-dal/prid/37273,₹83.00
